Ticker,Tipo,Segmento,Preço,DY (%),P/VP,Liquidez Diária (R$),Vacância (%),Score,Estratégias,Número Mágico,Custo Mágico (R$),Seção Bola de Neve
GGRC11,MULTI,Multicategoria,10.05,11.86,0.90,9.80M,0.00,9,SAFE_INCOME,102,1025.10,Base R$ 10 (Acessíveis)
CPUR11,MULTI,Multicategoria,10.68,10.52,1.09,4.83M,0.71,7,SAFE_INCOME,115,1228.20,Base R$ 10 (Acessíveis)
ALZR11,MULTI,Multicategoria,10.82,9.17,1.02,2.46M,11.25,7,,131,1417.42,Base R$ 10 (Acessíveis)
CPSH11,TIJOLO,Shoppings,10.90,11.61,0.97,9.07M,0.00,8,TIJOLO_VALUE; SAFE_INCOME,104,1133.60,Base R$ 10 (Acessíveis)
CPLG11,OUTROS,Log�stica,12.36,10.35,1.14,12.91M,0.00,7,SAFE_INCOME,116,1433.76,Base R$ 10 (Acessíveis)
HGBS11,TIJOLO,Shoppings,20.18,9.14,0.98,4.23M,3.89,10,TIJOLO_VALUE; SAFE_INCOME,132,2663.76,Base R$ 20 - R$ 50 (Intermediários)
HCTR11,MULTI,Multicategoria,21.51,17.10,0.20,1.08M,0.00,8,MULTI_DISCOUNT; HIGH_VOLATILITY,71,1527.21,Base R$ 20 - R$ 50 (Intermediários)
DEVA11,MULTI,Multicategoria,24.79,18.63,0.25,942.98K,0.00,7,MULTI_DISCOUNT; HIGH_VOLATILITY,65,1611.35,Base R$ 20 - R$ 50 (Intermediários)
URPR11,OUTROS,Outros,38.40,14.94,0.37,1.03M,0.00,8,,81,3110.40,Base R$ 20 - R$ 50 (Intermediários)
BRCR11,MULTI,Multicategoria,48.12,10.37,0.56,2.79M,3.22,7,,116,5581.92,Base R$ 20 - R$ 50 (Intermediários)
GZIT11,MULTI,Multicategoria,48.88,20.57,0.54,717.75K,4.14,7,MULTI_DISCOUNT; HIGH_VOLATILITY,59,2883.92,Base R$ 20 - R$ 50 (Intermediários)
FIGS11,TIJOLO,Shoppings,49.92,11.18,0.71,365.24K,5.06,7,TIJOLO_VALUE,108,5391.36,Base R$ 20 - R$ 50 (Intermediários)
IBCR11,OUTROS,Outros,50.52,17.91,0.55,267.15K,0.00,6,HIGH_VOLATILITY,68,3435.36,Base R$ 20 - R$ 50 (Intermediários)
PQAG11,OUTROS,Log�stica,55.64,10.12,1.00,515.16K,0.00,8,,119,6621.16,Base R$ 20 - R$ 50 (Intermediários)
RVBI11,OUTROS,Outros,59.90,14.10,0.81,931.73K,0.00,7,SAFE_INCOME,86,5151.40,Base R$ 20 - R$ 50 (Intermediários)
PLAG11,OUTROS,Outros,62.00,9.08,1.00,5.64M,0.00,8,SAFE_INCOME,133,8246.00,Base R$ 20 - R$ 50 (Intermediários)
PSEC11,OUTROS,Outros,63.37,12.87,0.84,2.81M,0.00,7,SAFE_INCOME,94,5956.78,Base R$ 20 - R$ 50 (Intermediários)
SMRE11,MULTI,Multicategoria,64.50,18.82,0.61,451.45K,0.00,7,MULTI_DISCOUNT; HIGH_VOLATILITY,64,4128.00,Base R$ 20 - R$ 50 (Intermediários)
RELG11,MULTI,Multicategoria,64.60,13.87,0.75,259.08K,0.00,6,MULTI_DISCOUNT,87,5620.20,Base R$ 20 - R$ 50 (Intermediários)
IRIM11,MULTI,Multicategoria,64.89,14.72,0.77,8.11M,0.00,8,MULTI_DISCOUNT,82,5320.98,Base R$ 20 - R$ 50 (Intermediários)
PATL11,OUTROS,Log�stica,66.58,10.54,0.75,1.06M,2.71,7,,114,7590.12,Base R$ 20 - R$ 50 (Intermediários)
BCRI11,OUTROS,Outros,66.85,14.93,0.79,612.04K,0.00,7,,81,5414.85,Base R$ 20 - R$ 50 (Intermediários)
JSRE11,MULTI,Multicategoria,67.04,8.52,0.63,3.26M,2.07,6,,141,9452.64,Base R$ 20 - R$ 50 (Intermediários)
KIVO11,OUTROS,Outros,67.20,16.79,0.78,324.26K,0.00,6,HIGH_VOLATILITY,72,4838.40,Base R$ 20 - R$ 50 (Intermediários)
BBFO11,MULTI,Multicategoria,67.98,12.80,0.87,340.00K,0.00,7,MULTI_DISCOUNT,94,6390.12,Base R$ 20 - R$ 50 (Intermediários)
RBHG11,OUTROS,Outros,68.49,13.84,0.79,213.28K,0.00,6,,87,5958.63,Base R$ 20 - R$ 50 (Intermediários)
KORE11,OUTROS,Outros,73.89,19.08,0.70,3.49M,1.61,8,HIGH_VOLATILITY,63,4655.07,Base R$ 100+ (Premium/Tradicionais)
TOPP11,OUTROS,Outros,74.65,13.34,0.70,728.56K,1.72,6,,90,6718.50,Base R$ 100+ (Premium/Tradicionais)
HABT11,MULTI,Multicategoria,76.98,15.85,0.81,1.16M,0.00,8,MULTI_DISCOUNT; SAFE_INCOME,76,5850.48,Base R$ 100+ (Premium/Tradicionais)
MFII11,MULTI,Multicategoria,77.05,16.60,0.78,1.60M,0.00,8,MULTI_DISCOUNT; HIGH_VOLATILITY,73,5624.65,Base R$ 100+ (Premium/Tradicionais)
INLG11,OUTROS,Log�stica,77.14,11.42,0.73,788.40K,0.84,6,,106,8176.84,Base R$ 100+ (Premium/Tradicionais)
SNFF11,OUTROS,Outros,77.67,12.66,0.89,643.23K,0.00,8,,95,7378.65,Base R$ 100+ (Premium/Tradicionais)
VGIP11,MULTI,Multicategoria,78.09,14.18,0.86,2.19M,0.00,10,MULTI_DISCOUNT; SAFE_INCOME,85,6637.65,Base R$ 100+ (Premium/Tradicionais)
CACR11,MULTI,Multicategoria,78.33,20.18,0.83,2.02M,0.00,8,MULTI_DISCOUNT; SAFE_INCOME; HIGH_VOLATILITY,60,4699.80,Base R$ 100+ (Premium/Tradicionais)
VRTA11,OUTROS,Outros,79.03,12.76,0.93,1.49M,0.00,9,SAFE_INCOME,95,7507.85,Base R$ 100+ (Premium/Tradicionais)
BBGO11,OUTROS,Outros,79.19,9.68,0.85,564.70K,0.00,7,,124,9819.56,Base R$ 100+ (Premium/Tradicionais)
RBHY11,OUTROS,Outros,79.49,15.62,0.86,258.14K,0.00,8,,77,6120.73,Base R$ 100+ (Premium/Tradicionais)
APXM11,TIJOLO,Shoppings,79.95,5.28,0.63,402.41K,0.00,6,,228,18228.60,Base R$ 100+ (Premium/Tradicionais)
TGAR11,MULTI,Multicategoria,80.05,14.45,0.71,9.14M,0.00,8,MULTI_DISCOUNT,84,6724.20,Base R$ 100+ (Premium/Tradicionais)
RRCI11,OUTROS,Outros,80.25,12.61,0.99,218.18K,0.00,7,,96,7704.00,Base R$ 100+ (Premium/Tradicionais)
VCJR11,OUTROS,Outros,80.98,14.17,0.86,2.08M,0.00,10,SAFE_INCOME,85,6883.30,Base R$ 100+ (Premium/Tradicionais)
XLPR11,OUTROS,Outros,81.28,11.70,1.01,239.45K,0.00,7,,103,8371.84,Base R$ 100+ (Premium/Tradicionais)
HSAF11,OUTROS,Outros,81.80,13.76,0.92,1.39M,0.00,10,SAFE_INCOME,88,7198.40,Base R$ 100+ (Premium/Tradicionais)
RECR11,MULTI,Multicategoria,82.00,13.56,0.92,3.15M,100.00,6,MULTI_DISCOUNT,89,7298.00,Base R$ 100+ (Premium/Tradicionais)
CVBI11,OUTROS,Outros,82.78,14.35,0.89,3.13M,0.00,10,SAFE_INCOME,84,6953.52,Base R$ 100+ (Premium/Tradicionais)
XPCI11,OUTROS,Outros,82.90,13.03,0.93,2.45M,0.00,9,SAFE_INCOME,93,7709.70,Base R$ 100+ (Premium/Tradicionais)
GTWR11,OUTROS,Escrit�rios,83.49,12.47,0.82,973.33K,0.00,6,SAFE_INCOME,97,8098.53,Base R$ 100+ (Premium/Tradicionais)
OUJP11,MULTI,Multicategoria,83.85,14.99,0.83,547.95K,0.00,7,MULTI_DISCOUNT,81,6791.85,Base R$ 100+ (Premium/Tradicionais)
PCIP11,OUTROS,Outros,83.94,13.70,0.91,4.13M,0.00,10,SAFE_INCOME,88,7386.72,Base R$ 100+ (Premium/Tradicionais)
KFOF11,MULTI,Multicategoria,84.83,10.85,0.90,1.22M,0.00,9,SAFE_INCOME,111,9416.13,Base R$ 100+ (Premium/Tradicionais)
ITRI11,OUTROS,Outros,84.94,11.88,0.88,1.17M,0.00,9,SAFE_INCOME,102,8663.88,Base R$ 100+ (Premium/Tradicionais)
TMPS11,OUTROS,Outros,85.13,11.65,0.87,282.55K,0.00,7,,104,8853.52,Base R$ 100+ (Premium/Tradicionais)
RBRR11,MULTI,Multicategoria,85.80,12.10,0.92,5.10M,0.00,9,SAFE_INCOME,100,8580.00,Base R$ 100+ (Premium/Tradicionais)
RPRI11,OUTROS,Outros,86.40,14.32,0.86,388.85K,0.00,8,,84,7257.60,Base R$ 100+ (Premium/Tradicionais)
RZAK11,MULTI,Multicategoria,87.06,15.50,0.98,1.76M,0.00,10,SAFE_INCOME,78,6790.68,Base R$ 100+ (Premium/Tradicionais)
FATN11,MULTI,Multicategoria,87.50,6.18,0.91,1.75M,1.59,7,,195,17062.50,Base R$ 100+ (Premium/Tradicionais)
BTAL11,OUTROS,Log�stica,88.27,12.16,0.76,700.26K,0.00,6,,99,8738.73,Base R$ 100+ (Premium/Tradicionais)
HPDP11,TIJOLO,Shoppings,89.89,7.43,0.93,543.86K,0.66,7,TIJOLO_VALUE,162,14562.18,Base R$ 100+ (Premium/Tradicionais)
SNCI11,OUTROS,Outros,90.79,13.20,0.92,1.07M,0.00,9,SAFE_INCOME,91,8261.89,Base R$ 100+ (Premium/Tradicionais)
KNIP11,MULTI,Multicategoria,91.45,10.75,0.98,10.49M,0.00,9,SAFE_INCOME,112,10242.40,Base R$ 100+ (Premium/Tradicionais)
RBRL11,OUTROS,Log�stica,91.54,9.76,0.86,1.78M,0.00,8,SAFE_INCOME,123,11259.42,Base R$ 100+ (Premium/Tradicionais)
BPML11,MULTI,Multicategoria,91.57,12.52,0.74,2.29M,8.23,6,MULTI_DISCOUNT,96,8790.72,Base R$ 100+ (Premium/Tradicionais)
RZAT11,MULTI,Multicategoria,91.73,13.08,0.91,672.80K,0.00,8,MULTI_DISCOUNT,92,8439.16,Base R$ 100+ (Premium/Tradicionais)
CLIN11,OUTROS,Outros,92.56,13.07,0.95,1.15M,0.00,9,SAFE_INCOME,92,8515.52,Base R$ 100+ (Premium/Tradicionais)
TRXF11,MULTI,Multicategoria,93.10,12.54,0.90,26.21M,0.00,9,MULTI_DISCOUNT; SAFE_INCOME,96,8937.60,Base R$ 100+ (Premium/Tradicionais)
MCCI11,MULTI,Multicategoria,93.65,12.14,0.99,5.52M,0.00,9,SAFE_INCOME,99,9271.35,Base R$ 100+ (Premium/Tradicionais)
HSLG11,OUTROS,Log�stica,93.88,8.58,0.85,781.95K,0.00,7,,140,13143.20,Base R$ 100+ (Premium/Tradicionais)
ICRI11,OUTROS,Outros,94.35,12.62,0.93,1.17M,0.00,9,SAFE_INCOME,96,9057.60,Base R$ 100+ (Premium/Tradicionais)
BCIA11,MULTI,Multicategoria,95.76,11.52,0.91,577.03K,0.00,8,,105,10054.80,Base R$ 100+ (Premium/Tradicionais)
HGCR11,OUTROS,Outros,96.17,12.69,0.98,3.61M,0.00,9,SAFE_INCOME,95,9136.15,Base R$ 100+ (Premium/Tradicionais)
